"project.id","country","p.invest","p.year","environmental","other"
"p094784"," ecuador",21710000,2014,0,1
"p105710"," panama",7.5e+07,2008,0,1
"p101342","mexico",200510000,2008,1,0
"p052608"," colombia",4.2e+07,2014,0,1
"p110536"," paraguay",103000,2010,0,1
"p113500"," ecuador",953000,2012,1,0
"p108404"," guatemala",215000,2010,0,1
"p097322","  brazil",4700000,2009,0,1
"p087925"," bolivia",1.5e+07,2014,1,0
"p103539","  guyana",5e+06,2013,1,0
"p083965"," bolivia",1e+07,2013,1,0
"p108880"," chile",820000,2009,0,1
"p089929","  brazil",59800000,2014,1,0
"p101253","argentina ",714000,2015,1,0
"p107572","central america",5e+05,2008,0,1
"p098846"," peru",3e+05,2010,1,0
"p050716","  uruguay",25300000,2015,1,0
"p103441"," chile",24800000,2014,0,1
"p104567"," colombia",122400000,2015,1,0
"p107548"," costa rica",179764,2010,0,1
"p090010","dominican ",3.2e+07,2016,0,1
"p101311"," guatemala",1e+08,2008,1,0
"p098328"," panama",46940000,2014,1,0
"p108711","caribbean",14559487.65,2014,0,1
"p092147"," bolivia",13115982,2009,1,0
"p082419"," panama",39400000,2014,1,0
"p102479"," bolivia",5175000,2013,1,0
"p094425","argentina ",4.2e+07,2016,1,0
"p095569","argentina ",1335100000,2013,1,0
"p098615"," colombia",17995000,2018,1,0
"p105288","argentina ",355270852.8,2013,1,0
"p101432","  uruguay",68100000,2013,1,0
"p095514","argentina ",2.25e+08,2013,0,1
"p070867","  brazil",23060000,2013,1,0
"p103881"," honduras",3.5e+07,2016,1,0
"p102474"," honduras",4440000,2012,0,1
"p108746","argentina ",138060,2010,1,0
"p108742","argentina ",103500,2009,1,0
"p108744","argentina ",178900,2010,0,1
"p108745","argentina ",54840,2010,1,0
"p108743","argentina ",1e+05,2009,1,0
"p108741","argentina ",109103,2010,1,0
"p102931"," chile",11700000,2014,1,0
"p100854"," chile",3e+07,2008,0,1
"p095877"," colombia",2e+08,2008,1,0
"p101086"," peru",1.5e+08,2009,0,1
"p115829","dominican ",507200,2011,1,0
"p083927","  uruguay",1e+08,2008,1,0
"p104639","  brazil",550000,2008,1,0
"p097604","  uruguay",14030000,2016,0,1
"p101170","argentina ",2e+07,2014,1,0
"p104640","  brazil",270000,2008,1,0
"p097141","st lucia",4370000,2013,1,0
"p107046","central america",170000,2009,1,0
"p095520","  uruguay",32500000,2015,1,0
"p103517","belize",2e+05,2010,0,1
"p108058","caribbean",4.5e+07,2012,1,0
"p099918"," haiti",12420000,2012,1,0
"p079165"," peru",34930000,2017,0,1
"p108718","  uruguay",347200,2009,0,1
"p089011","  brazil",77340000,2012,0,1
"p064918"," panama",46900000,2015,1,0
"p107550"," bolivia",119075,2008,0,1
"p096965"," colombia",158200000,2018,1,0
"p094539","organization of eastern caribbean states",14200000,2010,1,0
"p104690"," haiti",9e+06,2010,1,0
"p089898"," guatemala",1e+08,2015,0,1
"p094869"," dominica",2600000,2010,1,0
"p099051","argentina ",173100000,2012,1,0
"p089793","  brazil",1e+07,2011,0,1
"p100738"," colombia",5300000,2017,1,0
"p100564"," haiti",2.3e+07,2009,0,1
"p089839"," haiti",5e+06,2011,1,0
"p091407","  brazil",2.8e+07,2013,1,0
"p104455","mercosur",5e+05,2010,0,1
"p101335"," peru",2e+08,2007,1,0
"p095570"," peru",1.5e+08,2013,0,1
"p110469","latin america",1078000,2012,0,1
"p087106"," guatemala",62300000,2015,0,1
"p082651","  brazil",62842610,2014,1,0
"p080104","mexico",72285000,2020,1,0
"p094495","  uruguay",9928801,2012,1,0
"p095213"," colombia",3e+08,2007,0,1
"p100811"," haiti",1450000,2009,0,1
"p083979"," bolivia",3e+07,2017,0,1
"p090993","argentina ",9.5e+08,2012,1,0
"p095460","  brazil",2e+08,2013,0,1
"p089816"," nicaragua",2.5e+07,2007,1,0
"p095515","argentina ",3e+08,2012,0,1
"p066426","mexico",49350000,2016,1,0
"p098376"," panama",6e+07,2007,0,1
"p090731","caribbean",4300000,2011,1,0
"p099848","  guyana",285000,2009,0,1
"p094897"," guatemala",1e+08,2007,1,0
"p092949"," nicaragua",1.7e+07,2011,1,0
"p082026"," paraguay",105410000,2016,1,0
"p098531"," haiti",7474760,2013,1,0
"p007077"," ecuador",58800000,2011,1,0
"p095555"," ecuador",7.9e+07,2009,1,0
"p087831"," ecuador",4.3e+07,2010,1,0
"p094097"," colombia",3e+08,2007,0,1
"p099585","argentina ",7.5e+07,2013,1,0
"p092987"," honduras",8300000,2017,1,0
"p077717","mexico",1.5e+08,2016,1,0
"p097327","  brazil",2400000,2009,1,0
"p095371"," haiti",2e+06,2011,1,0
"p083045"," panama",18100000,2014,1,0
"p085488","central america",34350000,2012,0,1
"p066535","  brazil",17131400,2012,1,0
"p083952"," nicaragua",69910000,2014,0,1
"p093384"," costa rica",80303500,2014,0,1
"p098838"," costa rica",4e+07,2014,0,1
"p095675","  brazil",1.5e+08,2008,1,0
"p093491","argentina ",91570000,2014,1,0
"p092990","  brazil",1218740000,2013,0,1
"p060484","argentina ",1.75e+08,2015,1,0
"p092015"," chile",82600000,2017,1,0
"p098167"," ecuador",6e+07,2010,1,0
"p094155"," costa rica",3240000,2018,1,0
"p102095"," colombia",5085000,2008,1,0
"p082219","mexico",350000,2008,0,1
"p089989"," nicaragua",16700000,2015,0,1
"p078703","  guyana",9600000,2007,1,0
"p094154"," nicaragua",7980000,2019,1,0
"p083075"," colombia",14900000,2011,1,0
"p088543","  brazil",1.7e+08,2007,0,1
"p095523"," haiti",1.6e+07,2013,1,0
"p091932"," colombia",42400000,2014,1,0
"p094321"," guatemala",6e+07,2014,1,0
"p087038","mexico",141560000,2011,1,0
"p091299","jamaica",32800000,2013,1,0
"p089171","mexico",15000000.01,2011,1,0
"p055483","argentina ",1.05e+09,2009,1,0
"p096605","dominican ",49910000,2013,1,0
"p078894"," peru",3.5e+07,2012,1,0
"p098299","mexico",300760000,2006,1,0
"p090110"," peru",111450000,2013,1,0
"p090116"," peru",1e+08,2013,1,0
"p096740","  brazil",550000,2008,0,1
"p085727"," colombia",2e+08,2014,1,0
"p097159","mexico",501260000,2006,1,0
"p089926","argentina ",54380000,2015,1,0
"p088575"," ecuador",9e+07,2010,0,1
"p090061","dominican ",2089000,2009,0,1
"p077756"," guatemala",4.9e+07,2013,0,1
"p069671","  brazil",3200000,2005,0,1
"p085934","caribbean",194348.25,2009,0,1
"p082392","grenada",3500000,2013,1,0
"p070963","argentina ",240580000,2013,1,0
"p070448","argentina ",5.2e+07,2013,0,1
"p090113"," honduras",21090000,2013,1,0
"p085593","mexico",299570000,2011,1,0
"p094146"," el salvador",1e+08,2007,0,1
"p088728","mexico",346200000,2009,0,1
"p089826"," peru",1.5e+08,2006,0,1
"p081436","  brazil",82646000,2013,1,0
"p081023","  brazil",9180000,2013,1,0
"p092202"," el salvador",7630000,2012,1,0
"p078993"," el salvador",9.7e+07,2011,0,1
"p087046"," nicaragua",3.9e+07,2014,1,0
"p089852","mexico",200510000,2006,0,1
"p079182","  brazil",20910000,2017,0,1
"p050761","  brazil",1300000,2010,1,0
"p082656","mexico",49400000,2016,1,0
"p089443"," colombia",92700000,2008,0,1
"p085317","dominican ",229929.09,2005,0,1
"p088642"," el salvador",160600000,2011,1,0
"p094301"," colombia",2.5e+08,2006,0,1
"p082520"," colombia",24130316,2015,1,0
"p082056"," paraguay",2.5e+07,2011,1,0
"p092746","andean countries",4e+05,2008,0,1
"p090041","  brazil",8600000,2011,0,1
"p052256","  brazil",46800000,2010,0,1
"p079748","mexico",200510000,2006,1,0
